Date,Adj Close,Close,High,Low,Open,Volume,SMA50,SMA150,SMA200,VolumeSMA50
2004-08-19,2.4787821769714355,2.4991331100463867,2.591784954071045,2.3900420665740967,2.490664005279541,897427216,,,,
2004-08-20,2.6756715774536133,2.697638988494873,2.7168169021606445,2.5031180381774902,2.515820026397705,458857488,,,,
2004-08-23,2.702599048614502,2.7247869968414307,2.8264060020446777,2.7160699367523193,2.758410930633545,366857939,,,,
2004-08-24,2.5906906127929688,2.611959934234619,2.779581069946289,2.5795810222625732,2.7706151008605957,306396159,,,,
2004-08-25,2.618605613708496,2.640104055404663,2.689918041229248,2.5873019695281982,2.614201068878174,184645512,,,,
2004-08-26,2.665789842605591,2.687675952911377,2.6886720657348633,2.606729030609131,2.6139519214630127,142572401,,,,
2004-08-27,2.6223111152648926,2.6438400745391846,2.705359935760498,2.632383108139038,2.6924080848693848,124826132,,,,
2004-08-30,2.5200376510620117,2.540726900100708,2.6274020671844482,2.540726900100708,2.622170925140381,104429967,,,,
2004-08-31,2.528930902481079,2.5496931076049805,2.5830678939819336,2.5444629192352295,2.547950029373169,98825037,,,,
2004-09-01,2.4765586853027344,2.4968910217285156,2.5646369457244873,2.482445001602173,2.5579121112823486,183633734,,,,
2004-09-02,2.507685422897339,2.528273105621338,2.5496931076049805,2.4642629623413086,2.470489978790283,303810504,,,,
2004-09-03,2.4706292152404785,2.490912914276123,2.5340020656585693,2.4737279415130615,2.5143260955810547,103538639,,,,
2004-09-07,2.5094144344329834,2.5300168991088867,2.540477991104126,2.4809510707855225,2.515820026397705,117506800,,,,
2004-09-08,2.5272018909454346,2.547950029373169,2.566132068634033,2.5031180381774902,2.5090949535369873,100186120,,,,
2004-09-09,2.5274486541748047,2.548198938369751,2.5581610202789307,2.515571117401123,2.553678035736084,81620792,,,,
2004-09-10,2.6020543575286865,2.6234169006347656,2.6540520191192627,2.523042917251587,2.53051495552063,174804764,,,,
2004-09-13,2.655661106109619,2.677464008331299,2.7001290321350098,2.6515610218048096,2.655795097351074,157628624,,,,
2004-09-14,2.75423002243042,2.7768421173095703,2.789544105529785,2.6597800254821777,2.6762189865112305,217608605,,,,
2004-09-15,2.766828775405884,2.789544105529785,2.845086097717285,2.7447121143341064,2.753679037094116,215279909,,,,
2004-09-16,2.8154947757720947,2.8386099338531494,2.8841888904571533,2.780827045440674,2.7980120182037354,186207345,,,,
2004-09-17,2.9024529457092285,2.9262819290161133,2.9262819290161133,2.8281490802764893,2.849817991256714,190350817,,,,
2004-09-20,2.948648452758789,2.9728569984436035,3.0286478996276855,2.90834903717041,2.912832021713257,213585582,,,,
2004-09-21,2.9110989570617676,2.9349989891052246,2.999258041381836,2.9267799854278564,2.984065055847168,145262446,,,,
2004-09-22,2.924438953399658,2.9484479427337646,2.9805779457092285,2.9093449115753174,2.9240400791168213,152344894,,,,
2004-09-23,2.9847166538238525,3.009221076965332,3.0543019771575928,2.9145750999450684,2.9599061012268066,171524515,,,,
2004-09-24,2.9602599143981934,2.984563112258911,3.090914011001587,2.9828200340270996,3.012208938598633,183336625,,,,
2004-09-27,2.9214749336242676,2.945460081100464,3.0107150077819824,2.9340031147003174,2.9778380393981934,141994242,,,,
2004-09-28,3.133927822113037,3.1596570014953613,3.1731059551239014,2.994028091430664,3.0211760997772217,340190355,,,,
2004-09-29,3.23817777633667,3.264763116836548,3.3628950119018555,3.14396595954895,3.155672073364258,613229953,,,,
2004-09-30,3.2016162872314453,3.227900981903076,3.295149087905884,3.2129569053649902,3.235373020172119,276468402,,,,
2004-10-01,3.2752339839935303,3.3021230697631836,3.343467950820923,3.210465908050537,3.257788896560669,303934969,,,,
2004-10-04,3.336498260498047,3.3638908863067627,3.4089720249176025,3.3382370471954346,3.368623971939087,261693228,,,,
2004-10-05,3.4182682037353516,3.4463319778442383,3.450316905975342,3.2936549186706543,3.353929042816162,300887589,,,,
2004-10-06,3.3864006996154785,3.414202928543091,3.4483249187469482,3.3873040676116943,3.4259090423583984,268900140,,,,
2004-10-07,3.4301259517669678,3.458287000656128,3.483941078186035,3.4010019302368164,3.4102180004119873,283643194,,,,
2004-10-08,3.4024579524993896,3.430392026901245,3.4789600372314453,3.412708044052124,3.455049991607666,222442656,,,,
2004-10-11,3.341439962387085,3.368872880935669,3.4585371017456055,3.333754062652588,3.412209987640381,210437827,,,,
2004-10-12,3.394306182861328,3.422173023223877,3.427402973175049,3.3225460052490234,3.3484489917755127,234419380,,,,
2004-10-13,3.480769157409668,3.5093460083007812,3.5753490924835205,3.4889230728149414,3.56961989402771,397203256,,,,
2004-10-14,3.5079431533813477,3.536742925643921,3.546207904815674,3.4510650634765625,3.5120859146118164,209835578,,,,
2004-10-15,3.560067892074585,3.5892961025238037,3.6239171028137207,3.5354979038238525,3.60971999168396,265150137,,,,
2004-10-18,3.6848227977752686,3.7150750160217285,3.7160708904266357,3.5170669555664062,3.5666310787200928,282061287,,,,
2004-10-19,3.65468430519104,3.6846890449523926,3.7957730293273926,3.6699941158294678,3.7484500408172607,363918964,,,,
2004-10-20,3.4706406593322754,3.499134063720703,3.710840940475464,3.4769670963287354,3.686929941177368,456613107,,,,
2004-10-21,3.6902573108673096,3.7205541133880615,3.73923397064209,3.5272789001464844,3.5965189933776855,585767401,,,,
2004-10-22,4.259681224822998,4.294652938842773,4.487430095672607,4.086681842803955,4.247579097747803,1481207196,,,,
2004-10-25,4.629497051239014,4.667504787445068,4.842598915100098,4.297640800476074,4.393531799316406,1315480331,,,,
2004-10-26,4.491156101226807,4.5280280113220215,4.79801607131958,4.483195781707764,4.641104221343994,895628499,,,,
2004-10-27,4.594171047210693,4.6318888664245605,4.720306873321533,4.527280807495117,4.5509419441223145,536262538,,,,
2004-10-28,4.775249481201172,4.814454078674316,4.841601848602295,4.622673034667969,4.649571895599365,596097978,3.164309401512146,,,328530735.46
2004-10-29,4.709537982940674,4.748202800750732,4.980082988739014,4.747206211090088,4.953681945800781,849672890,3.209290795326233,,,327575648.94
2004-11-01,4.842690467834473,4.882449150085449,4.923295974731445,4.763894081115723,4.820681095123291,490828877,3.2529869985580446,,,328215076.72
2004-11-02,4.814035415649414,4.85355806350708,4.962648868560791,4.815451145172119,4.9509429931640625,455553149,3.2955624198913576,,,329988980.92
2004-11-03,4.734982013702393,4.773856163024902,5.02117919921875,4.750942230224609,4.935998916625977,557630330,3.3388003444671632,,,335013664.34
2004-11-04,4.562796592712402,4.60025691986084,4.742225170135498,4.566633224487305,4.693408012390137,578544429,3.3780034017562866,,,342891642.68
2004-11-05,4.183592796325684,4.217939853668213,4.540481090545654,4.198015213012695,4.532511234283447,796297573,3.4086086797714232,,,355966146.12
2004-11-08,4.2626447677612305,4.297640800476074,4.369622230529785,4.219184875488281,4.257293224334717,449349985,3.4416846942901613,,,362456623.18
2004-11-09,4.167535781860352,4.201751232147217,4.363644123077393,4.116321086883545,4.336246967315674,444226854,3.474905180931091,,,369252560.92
